pid,name,cpu_percent,memory_percent,num_threads,num_connections,is_suspicious
10013,suspicious_13.exe,70.05055806894276,32.86312456942439,20,14,1
10014,suspicious_14.exe,97.86447706714216,49.087091117635204,16,12,1
10015,suspicious_15.exe,90.51206265848766,41.852659151874455,29,10,1
10016,suspicious_16.exe,72.71779135147875,45.433375706657884,21,9,1
10017,suspicious_17.exe,79.94303877991234,32.21198842080026,11,9,1
10018,suspicious_18.exe,85.0479838229455,34.83379700448831,18,9,1
10019,suspicious_19.exe,87.29739382482181,49.8992736193872,14,7,1
20000,cmd.exe,6.766784662965662,4.438959646780066,8,2,0
20001,dwm.exe,8.037172678151805,1.2824942933814625,1,0,0
20002,python.exe,9.101074619305752,1.5597720802489767,14,3,0
20003,winlogon.exe,1.940044036924804,1.4564840431746084,9,2,0
20004,svchost.exe,3.9423661961880843,2.821275736616541,2,0,0
20005,explorer.exe,1.7137074287433696,0.06647522556619878,15,1,0
20006,msedge.exe,3.6420207131931868,4.591866275782971,10,2,0
20007,dwm.exe,9.872572444701895,3.943348806916116,1,1,0
20008,svchost.exe,0.9257099430737148,2.497485076915311,5,2,0
20009,firefox.exe,8.498887446483083,4.772414963775593,7,2,0
20010,python.exe,7.346284444555527,3.199859390716377,12,1,0
20011,teams.exe,1.8460885350203071,0.6582699043797186,13,2,0
20012,winlogon.exe,6.130795445474458,4.343142367523564,13,0,0
20013,explorer.exe,1.346123722246928,4.331799043070019,1,0,0
20014,python.exe,6.513836549900498,1.9261698194127896,10,3,0
20015,explorer.exe,8.83297061150139,4.639291957098443,10,0,0
20016,onedrive.exe,3.671954398042412,3.3600346262548824,8,2,0
20017,chrome.exe,7.573412475587638,3.6124758024811507,5,0,0
20018,outlook.exe,1.8241217967937529,3.173476936412587,11,1,0
20019,msedge.exe,0.2139470352724837,0.6188465092777601,6,0,0
10000,suspicious_0.exe,94.90203403181944,57.4137855198946,30,10,1
10001,suspicious_1.exe,73.37262110678424,48.08240312423685,15,5,1
10002,suspicious_2.exe,86.02435609798218,54.32913271179068,17,5,1
10003,suspicious_3.exe,81.43285413335875,36.341399715470665,12,14,1
10004,suspicious_4.exe,86.56369902128523,49.57292683585839,21,13,1
10005,suspicious_5.exe,74.56508477212505,53.74258615316411,19,14,1
10006,suspicious_6.exe,87.19919313962995,32.222347248789866,28,13,1
10007,suspicious_7.exe,77.96023042922559,32.293414815584796,28,6,1
10008,suspicious_8.exe,89.11434513028237,39.66774408334498,24,9,1
10009,suspicious_9.exe,86.08190033743149,43.96565900852913,19,15,1
10010,suspicious_10.exe,75.86194453795426,41.466957091920534,16,15,1
10011,suspicious_11.exe,83.25690475111439,36.010656582757605,15,5,1
10012,suspicious_12.exe,86.89650363635812,54.14025085918259,12,9,1
10013,suspicious_13.exe,94.08267677176985,43.61727481083442,20,13,1
10014,suspicious_14.exe,88.09936246881612,31.763346212949216,12,12,1
10015,suspicious_15.exe,88.06483471886699,40.140273196535446,24,9,1
10016,suspicious_16.exe,91.16484311615366,57.27864144016795,12,6,1
10017,suspicious_17.exe,87.32761341586442,51.945324361742436,28,13,1
10018,suspicious_18.exe,88.84675969861402,59.59212922128764,28,8,1
10019,suspicious_19.exe,89.49436760184976,33.959955274373094,22,6,1
